,"Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)"
,"2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Benin","2.6 [1.0-5.9]","2.7 [1.0-6.1]","2.8 [1.0-6.3]","2.8 [1.1-6.4]","2.9 [1.1-6.7]","3.0 [1.1-6.7]","3.0 [1.1-6.8]","3.0 [1.2-6.8]","3.0 [1.1-6.7]","2.9 [1.1-6.4]","2.8 [1.1-6.2]","2.8 [1.1-6.2]","2.9 [1.1-6.2]","2.9 [1.1-6.4]","3.0 [1.2-6.6]","3.1 [1.2-6.7]","3.1 [1.2-6.8]","3.2 [1.2-6.9]","3.0 [1.2-6.4]","3.1 [1.2-6.7]"
"Bhutan","0.2 [0.1-0.6]","0.3 [0.1-0.7]","0.3 [0.1-0.7]","0.3 [0.1-0.7]","0.3 [0.1-0.7]","0.3 [0.1-0.7]","0.3 [0.1-0.8]","0.3 [0.1-0.8]","0.3 [0.1-0.8]","0.3 [0.1-0.8]","0.3 [0.1-0.8]","0.4 [0.1-0.9]","0.4 [0.1-1.0]","0.4 [0.1-1.1]","0.4 [0.1-1.1]","0.5 [0.1-1.2]","0.5 [0.2-1.2]","0.5 [0.2-1.3]","0.5 [0.2-1.3]","0.5 [0.2-1.2]"
"Bolivia (Plurinational State of)","0.6 [0.2-1.1]","0.6 [0.2-1.2]","0.6 [0.2-1.2]","0.6 [0.3-1.3]","0.6 [0.3-1.2]","0.6 [0.3-1.2]","0.6 [0.2-1.2]","0.6 [0.3-1.3]","0.7 [0.3-1.3]","0.7 [0.3-1.4]","0.7 [0.3-1.4]","0.7 [0.3-1.5]","0.8 [0.3-1.5]","0.8 [0.3-1.6]","0.8 [0.3-1.7]","0.9 [0.3-1.8]","0.9 [0.4-1.9]","1.0 [0.4-2.0]","1.0 [0.4-2.1]","1.1 [0.4-2.3]"
"Bosnia and Herzegovina","0.4 [0.2-0.8]","0.4 [0.2-0.8]","0.4 [0.2-0.8]","0.4 [0.2-0.8]","0.4 [0.2-0.8]","0.4 [0.2-0.7]","0.4 [0.2-0.8]","0.4 [0.2-0.8]","0.4 [0.2-0.8]","0.4 [0.2-0.8]","0.4 [0.2-0.8]","0.4 [0.2-0.8]","0.5 [0.2-0.9]","0.4 [0.2-0.8]","0.5 [0.2-0.8]","0.4 [0.2-0.8]","0.5 [0.2-0.9]","0.5 [0.2-0.9]","0.6 [0.3-1.0]","0.7 [0.3-1.2]"
"Botswana","1.8 [0.6-4.3]","2.0 [0.7-4.6]","2.0 [0.7-4.6]","2.0 [0.7-4.5]","2.0 [0.7-4.5]","1.9 [0.7-4.3]","1.9 [0.7-4.2]","1.9 [0.7-4.2]","1.9 [0.7-4.2]","2.0 [0.7-4.3]","2.1 [0.8-4.5]","2.4 [0.9-5.2]","2.6 [0.9-5.6]","2.7 [1.0-6.0]","3.0 [1.1-6.8]","2.9 [1.0-6.6]","2.9 [1.0-6.4]","3.1 [1.0-6.9]","3.3 [1.1-7.5]","3.4 [1.2-7.7]"
"Brazil","0.1 [0.1-0.2]","0.2 [0.1-0.2]","0.2 [0.1-0.2]","0.1 [0.1-0.2]","0.2 [0.2-0.2]","0.2 [0.2-0.2]","0.1 [0.1-0.1]","0.1 [0.1-0.1]","0.1 [0.1-0.1]","0.1 [0.1-0.1]","0.1 [0.1-0.1]","0.1 [0.1-0.1]","0.1 [0.1-0.1]","0.1 [0.1-0.1]","0.1 [0.1-0.1]","0.1 [0.1-0.1]","0.1 [0.1-0.1]","0.1 [0.1-0.1]","0.1 [0.1-0.1]","0.1 [0.1-0.2]"
"Brunei Darussalam","0.0 [0.0-0.0]","0.0 [0.0-0.0]","0.0 [0.0-0.0]","0.4 [0.2-0.6]","0.6 [0.4-1.0]","0.7 [0.4-1.1]","0.2 [0.1-0.4]","0.9 [0.6-1.4]","0.2 [0.1-0.3]","0.3 [0.2-0.5]","0.2 [0.1-0.3]","0.3 [0.2-0.4]","0.3 [0.2-0.5]","0.2 [0.2-0.4]","0.4 [0.3-0.6]","0.3 [0.2-0.4]","0.4 [0.3-0.6]","0.2 [0.1-0.3]","0.3 [0.2-0.5]","0.4 [0.2-0.5]"
"Bulgaria","0.5 [0.4-0.8]","0.5 [0.3-0.6]","0.8 [0.6-1.1]","0.4 [0.3-0.6]","0.8 [0.6-1.0]","0.6 [0.4-0.8]","0.6 [0.5-0.8]","0.5 [0.4-0.7]","0.7 [0.5-0.9]","0.8 [0.6-1.1]","0.7 [0.6-1.0]","0.9 [0.7-1.2]","1.0 [0.7-1.3]","0.8 [0.6-1.1]","1.1 [0.8-1.5]","0.9 [0.7-1.2]","1.0 [0.7-1.3]","1.0 [0.7-1.2]","1.0 [0.7-1.3]","1.0 [0.8-1.3]"
"Burkina Faso","3.1 [1.2-6.6]","3.0 [1.1-6.5]","3.3 [1.3-7.3]","3.4 [1.3-7.4]","3.4 [1.3-7.4]","3.4 [1.3-7.1]","3.2 [1.3-6.6]","2.8 [1.2-5.5]","2.9 [1.2-5.8]","2.9 [1.2-5.7]","2.9 [1.2-5.7]","3.0 [1.3-6.0]","3.1 [1.3-6.2]","3.2 [1.3-6.4]","3.2 [1.4-6.5]","3.2 [1.4-6.5]","3.3 [1.4-6.6]","3.4 [1.5-6.9]","3.3 [1.4-6.6]","3.5 [1.5-6.8]"
"Burundi","3.2 [1.1-8.0]","3.3 [1.1-8.1]","3.4 [1.2-8.3]","3.5 [1.2-8.4]","3.6 [1.2-8.6]","3.8 [1.3-9.3]","4.0 [1.4-9.7]","4.2 [1.4-10.1]","4.1 [1.4-9.8]","4.3 [1.5-10.1]","4.3 [1.5-10.3]","4.5 [1.6-10.8]","4.7 [1.7-11.1]","4.8 [1.7-11.3]","2.4 [1.0-4.9]","2.6 [1.1-5.3]","2.7 [1.2-5.5]","2.9 [1.3-5.9]","3.1 [1.3-6.3]","3.3 [1.4-6.7]"
"Cabo Verde","0.4 [0.2-0.9]","0.4 [0.2-0.9]","0.4 [0.2-0.8]","0.4 [0.2-0.8]","0.4 [0.2-0.8]","0.5 [0.2-0.8]","0.5 [0.2-0.9]","0.5 [0.2-0.9]","0.5 [0.2-0.9]","0.5 [0.2-0.9]","0.5 [0.2-0.9]","0.5 [0.2-0.9]","0.5 [0.2-0.9]","0.5 [0.2-0.9]","0.5 [0.2-1.0]","0.5 [0.2-1.0]","0.5 [0.2-1.0]","0.5 [0.2-1.0]","0.5 [0.2-1.0]","0.5 [0.2-1.1]"
"Cambodia","0.5 [0.2-0.9]","0.5 [0.2-0.9]","0.5 [0.2-0.9]","0.5 [0.2-1.0]","0.5 [0.2-1.0]","0.5 [0.2-1.0]","0.5 [0.2-1.1]","0.6 [0.2-1.1]","0.6 [0.2-1.1]","0.6 [0.2-1.2]","0.6 [0.2-1.2]","0.6 [0.3-1.3]","0.7 [0.3-1.4]","0.7 [0.3-1.4]","0.7 [0.3-1.5]","0.8 [0.3-1.6]","0.8 [0.3-1.7]","0.8 [0.3-1.8]","0.9 [0.3-1.9]","0.9 [0.3-2.0]"
"Cameroon","2.6 [0.9-5.8]","2.6 [1.0-5.8]","2.7 [1.0-6.0]","2.8 [1.0-6.2]","2.9 [1.1-6.3]","3.0 [1.1-6.7]","3.2 [1.2-7.1]","3.3 [1.2-7.2]","3.3 [1.2-7.2]","3.3 [1.3-7.2]","3.3 [1.2-7.1]","3.2 [1.2-6.8]","3.1 [1.2-6.6]","3.0 [1.2-6.5]","3.0 [1.2-6.3]","2.9 [1.1-6.2]","3.0 [1.2-6.3]","3.1 [1.2-6.5]","3.1 [1.2-6.5]","3.2 [1.3-6.9]"
