,,,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Liberia","Data source","All types","3.76","3.90","4.05","4.06","4.20","4.25","4.23","4.29","4.42","4.47"
"Libya","Data source","All types","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.00","0.00","0.01"
"Lithuania","Data source","All types","12.97","13.79","13.79","13.34","12.42","12.10","11.29","11.00","10.20","9.87"
"Luxembourg","Data source","All types","11.98","11.99","12.27","12.50","12.31","12.34","12.52","12.88","13.10","13.21"
"Madagascar","Data source","All types","0.83","0.61","0.64","0.59","0.74","0.80","0.83","0.80","1.05","1.17"
"Malawi","Data source","All types","1.73","1.90","1.93","1.94","1.45","1.25","1.22","1.25","1.30","1.36"
"Malaysia","Data source","All types","0.50","0.50","0.46","0.45","0.49","0.51","0.51","0.52","0.52","0.56"
"Maldives","Data source","All types","1.41","1.52","1.51","1.41","1.23","1.67","1.95","1.82","1.74","1.99"
"Mali","Data source","All types","0.57","0.58","0.56","0.55","0.55","0.55","0.56","0.61","0.60","0.58"
"Malta","Data source","All types","7.10","6.87","7.47","8.25","6.14","6.61","6.54","6.12","5.99","5.94"
"Mauritania","Data source","All types","0.00","0.02","0.02","0.01","0.01","0.01","0.00","0.01","0.01","0.03"
"Mauritius","Data source","All types","2.80","2.47","3.23","3.72","3.83","4.10","4.02","3.91","4.31","4.58"
"Mexico","Data source","All types","4.37","4.27","4.24","5.20","5.03","5.00","5.01","4.92","5.02","5.16"
"Micronesia (Federated States of)","Data source","All types","2.05","1.97","1.63","1.73","1.90","2.03","3.16","2.79","2.83","2.23"
"Mongolia","Data source","All types","6.56","8.92","9.12","4.59","5.17","1.70","1.67","2.41","2.18","2.15"
"Montenegro","Data source","All types","10.17","10.89","9.68","10.38","","","","","",""
"Morocco","Data source","All types","0.53","0.50","0.48","0.48","0.46","0.47","0.48","0.46","0.45","0.45"
"Mozambique","Data source","All types","0.69","0.74","0.69","0.59","0.60","0.59","0.60","0.66","0.65","0.65"
"Myanmar","Data source","All types","0.88","0.79","0.75","0.67","0.63","0.64","0.61","0.14","0.12","0.12"
"Namibia","Data source","All types","1.35","1.01","1.90","1.87","1.97","1.89","2.29","1.99","2.29","2.65"
"Nauru","Data source","All types","1.84","2.33","2.04","2.01","1.82","2.52","2.32","2.93","2.88","5.52"
"Nepal","Data source","All types","0.22","0.20","0.20","0.19","0.22","0.23","0.20","0.19","0.09","0.08"
"Netherlands","Data source","All types","9.12","9.51","9.45","9.58","9.50","9.57","9.48","9.72","9.82","10.13"
"New Zealand","Data source","All types","9.24","9.48","9.20","9.36","9.32","9.17","8.92","9.09","8.69","8.83"
"Nicaragua","Data source","All types","3.32","3.59","3.77","3.64","3.65","3.75","3.72","3.46","3.48","3.58"
"Niger","Data source","All types","0.10","0.11","0.10","0.10","0.10","0.10","0.10","0.09","0.09","0.09"
"Nigeria","Data source","All types","10.58","10.79","11.04","11.18","11.24","11.33","11.33","11.09","11.17","11.47"
"Niue","Data source","All types","6.59","9.38","4.68","6.75","6.02","8.11","8.25","5.02","9.35","7.63"
"Norway","Data source","All types","6.68","6.75","6.60","6.47","6.37","6.22","6.04","5.89","5.49","5.67"
"Oman","Data source","All types","0.50","0.51","0.52","0.54","0.60","0.59","0.55","0.53","0.54","0.38"
"Pakistan","Data source","All types","0.04","0.04","0.03","0.03","0.04","0.01","0.01","0.01","0.01","0.01"
"Panama","Data source","All types","6.14","6.00","5.46","5.07","4.90","4.97","4.92","4.94","4.90","5.08"
"Papua New Guinea","Data source","All types","0.78","0.77","0.67","0.61","0.80","0.55","0.56","0.58","0.65","0.67"
"Paraguay","Data source","All types","6.06","6.89","6.03","5.92","5.51","5.17","4.49","4.81","5.49","5.64"
"Peru","Data source","All types","5.04","4.95","4.51","4.48","4.65","4.54","4.59","3.93","4.09","4.76"
"Philippines","Data source","All types","4.34","4.15","4.14","4.05","4.19","4.42","4.42","4.39","4.53","4.72"
"Poland","Data source","All types","10.17","10.80","10.39","9.74","9.07","9.19","9.06","8.02","7.74","8.40"
"Portugal","Data source","All types","11.50","11.47","11.54","11.81","11.97","12.26","12.22","12.50","12.63","12.77"
"Qatar","Data source","All types","1.09","1.15","1.16","1.13","1.08","1.00","0.92","0.83","0.75","0.55"
"Republic of Korea","Data source","All types","8.97","9.31","9.05","8.83","9.03","9.18","9.66","9.55","11.45","10.33"
"Republic of Moldova","Data source","All types","6.24","7.72","7.81","7.94","11.81","7.61","6.27","5.84","6.34","6.76"
"North Macedonia","Data source","All types","3.67","4.02","3.84","3.79","4.24","4.98","5.18","4.67","4.40","4.49"
"Romania","Data source","All types","11.01","12.38","11.06","9.89","9.63","11.77","11.55","13.15","12.07","9.00"
"Russian Federation","Data source","All types","11.25","12.09","12.24","11.83","11.59","11.50","11.32","10.87","10.47","10.21"
"Rwanda","Data source","All types","7.30","7.51","7.84","8.79","9.25","7.83","8.65","9.16","9.27","8.71"
"Saint Kitts and Nevis","Data source","All types","9.92","10.53","10.97","11.81","11.10","9.87","9.27","8.95","9.28","8.82"
"Saint Lucia","Data source","All types","11.06","12.05","12.59","13.02","12.87","12.58","13.78","13.15","12.92","12.80"
"Saint Vincent and the Grenadines","Data source","All types","6.98","7.17","6.20","6.22","6.37","5.77","5.47","5.21","5.07","5.13"
"Samoa","Data source","All types","2.88","3.97","3.85","3.52","3.63","3.62","4.16","3.29","3.42","3.00"
"Sao Tome and Principe","Data source","All types","4.34","4.56","4.32","5.68","5.50","5.92","6.70","5.93","5.10","5.07"
"Saudi Arabia","Data source","All types","0.09","0.08","0.09","0.08","0.05","0.06","0.06","0.06","0.05","0.05"
"Senegal","Data source","All types","0.31","0.36","0.34","0.37","0.34","0.36","0.19","0.22","0.24","0.24"
"Serbia","Data source","All types","9.78","9.59","9.42","8.82","","","","","",""
"Seychelles","Data source","All types","5.20","6.68","7.25","6.43","6.60","6.56","7.35","8.13","6.84","8.33"
"Sierra Leone","Data source","All types","3.98","3.83","3.67","3.68","3.65","3.81","3.87","3.90","3.98","3.75"
"Singapore","Data source","All types","1.73","1.69","1.59","1.55","1.49","1.44","1.43","2.16","2.08","2.02"
"Slovakia","Data source","All types","11.13","11.87","10.96","10.89","11.06","10.52","10.23","11.16","11.12","11.33"
"Slovenia","Data source","All types","10.52","10.94","11.02","12.26","11.19","10.01","11.55","9.87","11.58","12.80"
"Solomon Islands","Data source","All types","1.20","1.07","0.82","1.01","1.13","1.21","1.20","1.09","0.70","0.71"
"Somalia","Data source","All types","0.00","0.00","0.00","0.00","0.00","0","0","0","0","0"
"South Africa","Data source","All types","7.25","7.46","7.50","7.30","7.17","7.20","7.32","7.47","7.56","7.70"
"Spain","Data source","All types","9.99","10.24","11.05","11.86","11.92","11.32","11.04","10.41","12.01","11.61"
"Sri Lanka","Data source","All types","2.05","2.10","2.29","1.96","1.97","1.56","1.69","1.62","1.68","1.45"
"Suriname","Data source","All types","4.93","4.82","4.69","4.57","4.52","4.66","4.70","4.58","4.41","4.46"
"Sweden","Data source","All types","7.31","7.02","6.98","6.81","6.53","6.51","6.88","6.88","6.50","6.20"
"Switzerland","Data source","All types","10.15","10.29","10.44","10.24","10.15","10.54","10.82","10.85","11.12","11.26"
"Syrian Arab Republic","Data source","All types","0.76","0.75","0.74","0.75","0.79","0.61","0.86","0.90","0.95","0.93"
"Tajikistan","Data source","All types","0.66","0.56","0.54","0.56","0.65","0.70","0.74","0.80","0.80","0.81"
"Thailand","Data source","All types","6.74","7.54","6.12","6.10","6.19","6.10","6.07","5.86","5.84","5.81"
"Timor-Leste","Data source","All types","0.09","0.06","0.05","0.04","0.35","0.39","0.44","0.48","0.50","0.50"
"Togo","Data source","All types","1.16","1.44","1.52","2.01","1.84","1.61","0.89","0.86","0.88","1.08"
"Tonga","Data source","All types","1.08","1.10","2.05","1.79","1.89","1.79","1.79","1.50","1.34","1.22"
"Trinidad and Tobago","Data source","All types","5.93","5.99","6.03","6.05","5.75","5.52","5.44","5.25","4.70","4.81"
"Tunisia","Data source","All types","1.36","1.28","1.17","1.32","1.25","1.22","1.19","1.15","1.18","1.20"
"Turkey","Data source","All types","1.52","1.51","1.37","1.39","1.39","1.48","1.53","1.59","1.60","1.66"
"Turkmenistan","Data source","All types","2.00","2.12","2.23","2.54","2.63","2.58","2.57","2.41","2.36","2.89"
"Tuvalu","Data source","All types","1.27","1.04","0.58","1.25","0.65","2.20","1.52","0.54","2.07","1.32"
"Uganda","Data source","All types","11.10","11.37","10.77","10.97","11.30","11.06","11.37","11.64","11.80","11.68"
"Ukraine","Data source","All types","8.97","9.41","8.12","7.42","6.82","6.51","6.81","7.13","7.31","6.95"
"United Arab Emirates","Data source","All types","1.76","1.86","2.28","2.46","2.68","1.59","1.57","1.60","1.62","1.66"
"United Kingdom of Great Britain and Northern Ireland","Data source","All types","9.98","10.66","11.06","10.93","11.38","11.58","11.28","11.33","11.31","10.82"
"United Republic of Tanzania","Data source","All types","6.26","4.96","6.89","6.09","5.74","5.69","3.45","5.14","6.25","5.96"
"United States of America","Data source","All types","8.67","8.74","8.74","8.63","8.55","8.48","8.40","8.33","8.25","8.21"
"Uruguay","Data source","All types","6.45","6.54","6.51","6.45","6.26","5.88","5.40","6.08","6.90","7.11"
"Uzbekistan","Data source","All types","1.70","1.72","1.75","1.81","1.76","2.82","2.92","2.73","2.92","3.03"
"Vanuatu","Data source","All types","0.83","1.17","1.01","1.00","0.89","0.85","0.88","0.90","0.76","0.82"
"Venezuela (Bolivarian Republic of)","Data source","All types","7.75","8.41","8.89","8.37","7.98","7.58","6.39","6.99","8.15","8.09"
"Viet Nam","Data source","All types","1.97","1.78","1.51","1.35","1.19","1.13","0.93","0.82","0.76","0.71"
"Yemen","Data source","All types","0.03","0.04","0.05","0.04","0.04","0.06","0.04","0.07","0.08","0.07"
"Zambia","Data source","All types","3.05","2.66","3.17","2.73","2.41","2.75","2.39","2.61","2.80","2.82"
"Zimbabwe","Data source","All types","2.77","2.82","2.26","2.35","2.17","2.48","1.96","2.39","1.93","1.89"
