,"Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)"
"Congo","79","75","69","71","80","90","85","85","82","74","78","79","72","73","62","67","50","41","31","33","29","26","23","37","50","55","60","67","74","79","79","72","72","71","54","53","50","47","42","42"
"Cook Islands","98","99","99","99","99","99","98","98","93","99","82","99","99","99","99","99","96","97","90","92","92","93","93","75","93","86","99","87","87","93","89","94","83","87","78","48","57","51","46","40"
"Costa Rica","95","94","96","97","92","91","95","91","85","88","86","90","89","89","91","90","88","94","91","88","86","85","94","85","85","88","88","90","90","95","86","87","94","89","90","93","86","81","85","86"
"Côte d'Ivoire","84","86","83","87","79","73","75","82","61","78","81","74","76","77","76","67","61","64","66","65","58","58","58","55","52","50","50","49","39","54","42","31","31","30","25","19","","","",""
"Croatia","94","93","92","93","94","95","96","96","96","97","96","96","96","96","96","96","94","95","94","93","93","93","92","91","90","87","85","83","","","","","","","","","","","",""
"Cuba","99","99","99","99","99","99","99","99","97","96","96","95","93","89","89","88","72","99","98","95","95","99","99","90","99","99","99","94","99","92","96","98","87","99","91","86","99","99","68","67"
"Cyprus","96","99","97","97","97","99","99","99","99","99","99","97","97","97","98","98","98","98","97","97","97","98","98","98","96","95","95","94","94","93","93","90","93","91","61","30","34","26","56","34"
"Czechia","97","97","96","96","97","97","98","99","99","99","99","99","99","98","97","98","97","98","98","98","98","98","98","97","96","98","99","","","","","","","","","","","","",""
"Democratic People's Republic of Korea","97","97","97","96","96","93","93","96","94","93","93","92","92","89","79","72","68","64","62","56","50","43","37","50","64","77","90","90","97","98","97","87","86","61","55","67","52","51","52","50"
"Democratic Republic of the Congo","57","57","57","57","63","68","68","75","74","60","72","65","70","62","60","54","41","38","30","40","25","18","18","18","23","26","29","23","16","35","38","41","38","32","37","27","16","17","18",""
"Denmark","97","97","98","94","93","94","94","94","91","90","89","88","87","93","93","95","96","98","97","97","99","99","92","77","90","89","88","91","90","90","89","87","88","89","90","86","86","87","88","88"
"Djibouti","85","84","76","68","84","78","82","81","87","88","89","89","88","72","71","64","68","62","53","46","23","23","32","41","41","41","41","41","53","85","77","65","25","24","22","21","14","6","",""
"Dominica","99","94","91","99","98","97","96","97","98","98","99","96","96","95","98","99","99","98","99","99","99","99","92","99","99","99","99","99","98","92","92","96","95","93","91","84","93","99","97","63"
"Dominican Republic","89","94","84","87","85","91","83","85","84","88","82","82","85","89","87","79","79","82","72","78","83","75","73","72","72","74","75","73","71","69","58","69","80","80","39","34","29","28","27","36"
"Ecuador","85","85","85","83","78","83","87","87","88","91","94","96","96","96","92","88","87","88","89","87","79","85","81","82","83","84","85","87","59","68","55","54","51","44","41","48","31","35","26","10"
"Egypt","95","95","94","95","93","94","97","93","96","97","97","97","98","98","98","97","98","97","99","98","97","92","88","90","88","83","81","79","76","87","90","87","81","80","84","69","57","57","57","57"
"El Salvador","81","81","85","93","91","94","92","92","89","89","91","98","99","96","89","90","94","81","92","99","94","99","97","96","99","90","79","60","61","80","64","63","53","50","55","31","21","42","42","44"
"Equatorial Guinea","53","53","53","53","40","53","53","54","54","54","52","50","48","46","44","43","41","39","37","35","33","81","81","80","79","77","76","76","77","77","48","19","10","3","3","","","","",""
"Eritrea","95","95","95","95","95","94","94","94","94","95","95","95","95","94","96","98","93","90","86","81","93","86","75","66","58","49","32","","","","","","","","","","","","",""
"Estonia","91","92","93","93","93","93","94","94","93","94","95","95","95","95","96","94","94","94","94","93","91","88","87","87","82","77","71","","","","","","","","","","","","",""
